topic,summary of points,"what facts, if any?","what anecdotes, if any?",anecdote quote,original transcript
The topic they are talking about is being on the record.,They think that being on the record is a good thing.,The facts are that being on the record is a good thing.,They do not support their point with anecdotes.,They do not quote any anecdotes.,We are on the record
The topic is a court case.,The person is summarizing the case.,The facts are the names of the parties involved and the date and time of the deposition.,There are no anecdotes.,There are no quotes.,"9:12 AM, August 28th, 2015. In the matter of Commonwealth of Kentucky pike, circuit court division two, civil action number zero seven CI dash 0 1 3 0 3, Commonwealth of Kentucky versus Purdue Pharma. This is deposition of Dr. Richard Sackler. If I could have the attorney's statement name into the records,"
The topic is not mentioned.,They do not mention any points.,N/A,N/A,N/A,"Second? Uh, we are off the record at 10:06 AM. We are back on the record at 10:18 AM"
The topic is not mentioned.,They do not mention any points.,N/A,N/A,N/A,Are off the record at 11:45 AM. We are back on the record at
The topic is not stated.,They do not state any points.,N/A,N/A,N/A,We are off the record at 12:32 PM. We are back on record at 12:32 PM.
The topic is not mentioned.,They do not mention any points.,N/A,N/A,N/A,We are back on the record at 2:03 PM.
The topic is unknown.,They do not state any points.,N/A,N/A,N/A,We are off the record at 3:27 PM. We are back on the record at 3:42 PM.
The topic is not stated.,They do not state any points.,N/A,N/A,N/A,We are off the record at 5:26 PM. We are on the record at 5:55 PM.
The topic is unknown.,They do not state any points.,N/A,N/A,N/A,At 6:20 PM. We are back on the record at 6:33 PM.
The topic is not mentioned.,They do not mention any points.,N/A,N/A,N/A,We are off the record at 7:18 PM. We are back on the record at 7:39 PM.
The topic is not stated.,They do not state any points.,N/A,N/A,N/A,That is the conclusions of this deposition. It is we're off the record at 7:58 PM.
