topic,summary of points,"what facts, if any?","what anecdotes, if any?",anecdote quote,original transcript
The topic is reading a list of names.,They want people to read the list of names.,N/A,N/A,N/A,And then you wanna just go ahead and read the list of names.
The topic is not clear.,They do not state any clear points.,N/A,N/A,N/A,"I tell you what, just go ahead. Let's just say our name. We'll pick it up."
The topic is the proposed changes to the state's education budget.,The person's points are that the proposed changes are bad for Kentucky's education budget.,The facts are that the proposed changes would cut funding for education in Kentucky.,There are no anecdotes.,N/A,"Tyler Thompson on behalf of the state of Kentucky,"
The topic is unknown.,They cannot summarize their points.,N/A,N/A,N/A,You state your name please.
The topic they are talking about is the case against Purdue.,They are testifying in a case against Purdue.,The facts are that they are testifying in a case against Purdue.,They do not support their points with anecdotes.,N/A,"And, um, you are here today, um, uh, to give testimony, uh, in a case, um, pending against Purdue, various entities, um, uh, by the state of Kentucky. You're aware of that."
They are talking about the idea.,They think it is a good idea and it will work well.,The facts are that it will work and it is a good idea.,They do not support their point with anecdotes.,N/A,And you've given
The topic is unknown.,They are asking for confirmation from Mitchell.,N/A,N/A,N/A,"Um, is that correct? Mitchell? Yeah,"
The topic is unknown.,They have no points.,N/A,N/A,N/A,Sure. Okay. And
N/A,They are not making any points.,N/A,N/A,N/A,"Yeah, we won't disseminate until y'all designate and respond there's period"
The topic is the person's current role at Purdue.,They are asking about the person's role at Purdue.,The facts are that the person is from Kentucky and is currently employed at Purdue.,There are no anecdotes.,N/A,"Order and, and, uh, just so you know, I know you're not from Kentucky, is that correct? That's correct. Um, um, all, uh, objections other than to the form of the question are preserved in Kentucky. Thank you. On video. Um, what is your current role at Purdue?"
The topic they are talking about is the number of Purdue entities.,They want to know how many Purdue entities there are.,N/A,N/A,N/A,"Talking about? Well, let's, uh, let's talk about the number of Purdue entities. There are, uh, how many Purdue entities are"
The Sackler family owning 69 different corporations.,The person has seen 69 different corporations that the Sackler family owns and questions if that is correct.,The fact is that the person has seen 69 different corporations that the Sackler family owns.,N/A,N/A,"I've seen upwards of 69 different corporations perhaps that, uh, the Sackler family owns. Is that correct?"
The topic is the Purdue Frederick company.,The person's points are that there are a number of Purdue entities and that they are unsure of the existence of the Purdue Frederick company.,The facts are that there are a number of Purdue entities.,There are no anecdotes.,There are no quotes.,"Um, there are a number of Purdue entities. Um, the Purdue Frederick company, Inc. Does it still exist?"
The topic is companies that involve Purdue.,They want to know what companies the person has a role with that involve Purdue.,N/A,N/A,N/A,"Okay. Um, tell me what companies that you currently, uh, have a role with that, uh, involve Purdue."
